Date,btc_price,btc_volume,eth_price,eth_volume,bnb_price,bnb_volume,sol_price,sol_volume,xrp_price,xrp_volume,ada_price,ada_volume,avax_price,avax_volume,doge_price,doge_volume,dot_price,dot_volume,trx_price,trx_volume
,BTC-USD,BTC-USD,ETH-USD,ETH-USD,BNB-USD,BNB-USD,SOL-USD,SOL-USD,XRP-USD,XRP-USD,ADA-USD,ADA-USD,AVAX-USD,AVAX-USD,DOGE-USD,DOGE-USD,DOT-USD,DOT-USD,TRX-USD,TRX-USD
2022-01-05,43569.00390625,36851084859,3550.386962890625,18061338502,475.05694580078125,2870757788,155.0997314453125,2123759721,0.7743579745292664,2252733064,1.236001968383789,1416139355,97.85257720947266,1168896098,0.15941999852657318,994086848,26.796140670776367,1721841153,0.07138200104236603,1548312023
2022-01-06,43160.9296875,30208048289,3418.408203125,24293791313,473.2756042480469,4400228627,150.4313507080078,2097172620,0.7813460230827332,2165022786,1.2797820568084717,1559075484,95.19853973388672,909261500,0.16021299362182617,715345645,26.760822296142578,1444988536,0.0711119994521141,1852557542
2022-01-07,41557.90234375,84196607520,3193.21044921875,24494179209,447.7884826660156,4613172287,136.40281677246094,2926269672,0.7630739808082581,2329624598,1.2115470170974731,1751707653,86.76771545410156,1163318424,0.155022993683815,969384523,24.92523956298828,2764194355,0.06812600046396255,1606695992
2022-01-08,41733.94140625,28066355845,3091.97265625,16037732700,430.24615478515625,4068139021,142.51345825195312,2730000333,0.7476879954338074,1792091501,1.1875120401382446,1499054949,84.05683898925781,1021954391,0.15195399522781372,584437036,24.029129028320312,1546276235,0.06572200357913971,1054607408
2022-01-09,41911.6015625,21294384372,3157.75146484375,12334683863,438.8030700683594,3347862691,140.83900451660156,1599123912,0.7545049786567688,1182503166,1.17385995388031,1088569809,89.20655822753906,900030318,0.15106500685214996,408786249,24.6273193359375,1328484247,0.0662669986486435,888640481
2022-01-10,41821.26171875,32104232331,3083.097900390625,19535744145,424.93377685546875,4156063326,135.95494079589844,2040883379,0.7393350005149841,2014043704,1.128051996231079,1481621292,84.5326156616211,1138103402,0.1433590054512024,763684873,23.780059814453125,1693703473,0.06356500089168549,1210963183
2022-01-11,42735.85546875,26327648900,3238.111572265625,15211447193,463.518310546875,4600615710,140.18385314941406,1554197314,0.7705540060997009,1897366203,1.1851099729537964,1089929557,89.50181579589844,719261554,0.1533990055322647,1628447666,25.543930053710938,1556234288,0.06493400037288666,993256206
2022-01-12,43949.1015625,33499938689,3372.25830078125,16662871689,487.0074157714844,4131335431,151.70310974121094,2242337550,0.7995479702949524,1976047994,1.3045350313186646,1651269250,95.8235092163086,962440339,0.16165199875831604,896008600,27.319494247436523,1416836455,0.06806299835443497,793399590
2022-01-13,42591.5703125,47691135082,3248.28857421875,15294466275,475.02911376953125,4151007744,146.01004028320312,2177023564,0.7683280110359192,1578656460,1.2331609725952148,2022506483,89.40788269042969,756890649,0.17204299569129944,2301820074,25.828889846801758,1392401458,0.06627299636602402,1064293958
