Date,btc_price,btc_vol_M,eth_price,eth_vol_M,bnb_price,bnb_vol_M,sol_price,sol_vol_M,xrp_price,xrp_vol_M,ada_price,ada_vol_M,avax_price,avax_vol_M,doge_price,doge_vol_M,dot_price,dot_vol_M,trx_price,trx_vol_M
2022-01-05,43569.00390625,36851.08,3550.386962890625,18061.34,475.0569458007813,2870.76,155.0997314453125,2123.76,0.7743579745292664,2252.73,1.236001968383789,1416.14,97.85257720947266,1168.9,0.1594199985265731,994.09,26.796140670776367,1721.84,0.071382001042366,1548.31
2022-01-06,43160.9296875,30208.05,3418.408203125,24293.79,473.2756042480469,4400.23,150.4313507080078,2097.17,0.7813460230827332,2165.02,1.2797820568084717,1559.08,95.19853973388672,909.26,0.1602129936218261,715.35,26.760822296142575,1444.99,0.0711119994521141,1852.56
2022-01-07,41557.90234375,84196.61,3193.21044921875,24494.18,447.7884826660156,4613.17,136.40281677246094,2926.27,0.7630739808082581,2329.62,1.2115470170974731,1751.71,86.76771545410156,1163.32,0.155022993683815,969.38,24.92523956298828,2764.19,0.0681260004639625,1606.7
2022-01-08,41733.94140625,28066.36,3091.97265625,16037.73,430.24615478515625,4068.14,142.51345825195312,2730.0,0.7476879954338074,1792.09,1.1875120401382446,1499.05,84.05683898925781,1021.95,0.1519539952278137,584.44,24.029129028320312,1546.28,0.0657220035791397,1054.61
2022-01-09,41911.6015625,21294.38,3157.75146484375,12334.68,438.8030700683594,3347.86,140.83900451660156,1599.12,0.7545049786567688,1182.5,1.17385995388031,1088.57,89.20655822753906,900.03,0.1510650068521499,408.79,24.6273193359375,1328.48,0.0662669986486435,888.64
2022-01-10,41821.26171875,32104.23,3083.097900390625,19535.74,424.9337768554688,4156.06,135.95494079589844,2040.88,0.7393350005149841,2014.04,1.128051996231079,1481.62,84.5326156616211,1138.1,0.1433590054512024,763.68,23.780059814453125,1693.7,0.0635650008916854,1210.96
2022-01-11,42735.85546875,26327.65,3238.111572265625,15211.45,463.518310546875,4600.62,140.18385314941406,1554.2,0.7705540060997009,1897.37,1.1851099729537964,1089.93,89.50181579589844,719.26,0.1533990055322647,1628.45,25.543930053710938,1556.23,0.0649340003728866,993.26
2022-01-12,43949.1015625,33499.94,3372.25830078125,16662.87,487.0074157714844,4131.34,151.70310974121094,2242.34,0.7995479702949524,1976.05,1.3045350313186646,1651.27,95.8235092163086,962.44,0.161651998758316,896.01,27.319494247436523,1416.84,0.0680629983544349,793.4
2022-01-13,42591.5703125,47691.14,3248.28857421875,15294.47,475.0291137695313,4151.01,146.01004028320312,2177.02,0.7683280110359192,1578.66,1.2331609725952148,2022.51,89.40788269042969,756.89,0.1720429956912994,2301.82,25.82888984680176,1392.4,0.066272996366024,1064.29
2022-01-14,43099.69921875,23577.4,3310.00146484375,13562.96,489.867431640625,3112.24,146.15902709960938,1822.32,0.7742969989776611,1576.11,1.2909259796142578,1855.98,90.3405303955078,640.74,0.1835490018129348,5784.0,27.71286392211914,1801.18,0.0676660016179084,1245.43
2022-01-15,43177.3984375,18371.35,3330.53076171875,9620.0,494.9880676269531,1766.02,147.80117797851562,1123.27,0.7814229726791382,1029.14,1.2962629795074463,967.74,93.3158187866211,514.35,0.1851029992103576,1878.28,27.73683357238769,1158.99,0.0685440003871917,745.43
2022-01-16,43113.87890625,17902.1,3350.921875,9505.93,498.4279174804688,1771.93,147.8565216064453,1172.85,0.778954029083252,1005.08,1.407251000404358,2436.68,92.23979949951172,498.17,0.1771759986877441,1102.75,27.665128707885746,1280.58,0.069872997701168,795.16
2022-01-17,42250.55078125,21690.9,3212.304931640625,12344.31,475.7098693847656,2134.61,139.92601013183594,1487.77,0.7627419829368591,1406.44,1.5941309928894043,5285.12,86.75066375732422,613.95,0.1711450070142746,1094.38,25.727352142333984,1453.9,0.0707919970154762,1187.46
2022-01-18,42375.6328125,22417.21,3164.025146484375,13024.15,472.0050659179688,2106.86,141.58718872070312,1449.44,0.7526310086250305,1510.07,1.4655410051345823,4287.07,86.01341247558594,519.43,0.165484994649887,979.69,25.168928146362305,1349.15,0.0684849992394447,1136.34
2022-01-19,41744.328125,23091.54,3095.825927734375,13187.42,462.8220825195313,1780.06,135.79238891601562,1444.66,0.739749014377594,1446.13,1.34175705909729,3304.14,82.90330505371094,538.78,0.1623560041189193,935.01,24.129552841186523,1171.94,0.0692809969186782,1076.9
2022-01-20,40680.41796875,20382.03,3001.1201171875,10645.92,440.0054321289063,1881.74,127.20528411865234,984.1,0.7194210290908813,1251.48,1.2580549716949463,1686.21,79.0684585571289,301.65,0.1552039980888366,469.27,22.984886169433597,897.27,0.0677379965782165,771.68
2022-01-21,36457.31640625,43011.99,2557.931640625,26796.29,383.0739135742188,3647.22,111.96605682373048,3771.69,0.6357380151748657,3150.76,1.1232329607009888,3009.63,65.92256164550781,1061.16,0.1426399946212768,1163.06,19.64629364013672,2158.45,0.0609080009162426,1380.54
2022-01-22,35030.25,39714.39,2405.18115234375,27369.69,358.0961608886719,4226.93,94.1783676147461,4039.47,0.5960419774055481,3613.86,1.066715955734253,3930.47,59.72904968261719,1333.88,0.1328919976949691,1693.52,18.229856491088867,2593.52,0.0566859990358352,1742.55
2022-01-23,36276.8046875,26017.98,2535.0390625,16481.49,383.9339599609375,2786.83,99.5782241821289,2548.19,0.6287559866905212,1851.93,1.122370958328247,2362.63,64.72541046142578,897.02,0.141863003373146,1006.23,18.82877540588379,1570.77,0.0575730018317699,1128.92
2022-01-24,36654.328125,41856.66,2440.352294921875,28220.8,371.3689575195313,3210.87,91.65016174316406,4664.54,0.6121389865875244,2759.98,1.0665980577468872,3237.32,62.87763214111328,1159.7,0.1377979964017868,1446.87,18.0367488861084,2261.89,0.0550430007278919,1622.23
2022-01-25,36954.00390625,26428.19,2455.93505859375,16179.78,384.6193542480469,2325.66,94.72035217285156,2842.65,0.617563009262085,1731.12,1.043573975563049,1766.33,67.90058898925781,994.12,0.1430490016937255,1347.57,18.34864616394043,1511.11,0.0558749996125698,1109.22
2022-01-26,36852.12109375,31324.6,2468.0302734375,21229.91,375.7554626464844,2226.97,92.23804473876952,3177.19,0.6220719814300537,2302.11,1.0790469646453855,2437.59,65.99578857421875,1166.4,0.143788993358612,1253.11,18.076839447021484,1763.13,0.056267000734806,1020.55
2022-01-27,37138.234375,25041.43,2423.001220703125,16126.52,390.0882873535156,1952.84,89.63249206542969,2513.95,0.6087700128555298,1586.14,1.0435329675674438,1519.97,64.69680786132812,798.86,0.1412470042705536,608.71,18.134811401367188,1134.52,0.056402999907732,740.76
2022-01-28,37784.33203125,22238.83,2547.092041015625,14666.23,386.0843811035156,1592.85,91.31289672851562,2156.1,0.6125119924545288,1318.01,1.0506060123443604,1206.55,67.12731170654297,664.57,0.1416559964418411,506.67,18.339580535888672,994.68,0.057592999190092,608.75
2022-01-29,38138.1796875,17194.18,2597.084716796875,11172.06,389.1327819824219,1330.61,96.2234878540039,1727.33,0.6169350147247314,958.85,1.0595699548721311,913.12,72.12027740478516,697.61,0.1430560052394867,397.61,18.710241317749023,766.55,0.0602679997682571,693.23
2022-01-30,37917.6015625,14643.55,2603.466552734375,9501.22,377.6129150390625,1289.33,93.29767608642578,1110.34,0.603181004524231,870.88,1.03747296333313,748.08,67.97378540039062,534.1,0.1394709944725036,363.98,18.172527313232425,757.97,0.0587339997291564,539.57
2022-01-31,38483.125,20734.73,2688.27880859375,13778.23,375.2773132324219,1386.78,99.73883819580078,1888.45,0.6191490292549133,1266.54,1.0523029565811155,925.67,69.99242401123047,700.41,0.1418049931526184,412.31,19.42054557800293,1115.68,0.0591409988701343,779.59
2022-02-01,38743.2734375,20288.5,2792.1171875,13194.85,385.46380615234375,1392.65,109.9789810180664,3568.47,0.6292330026626587,1183.03,1.0886240005493164,1130.55,73.44881439208984,843.35,0.1426309943199157,409.43,19.61420440673828,1068.76,0.0598669983446598,735.08
2022-02-02,36952.984375,19155.19,2682.85400390625,13876.3,367.4716796875,1290.85,101.8376007080078,3297.98,0.6014829874038696,1182.74,1.028905987739563,1086.04,67.87997436523438,875.72,0.1372350007295608,483.19,18.796897888183597,1153.27,0.0586460009217262,740.77
2022-02-03,37154.6015625,18591.53,2679.16259765625,12755.51,370.8777465820313,1202.74,101.45903778076172,2618.95,0.6076840162277222,1042.29,1.0564440488815308,873.68,68.10771942138672,695.26,0.1375409960746765,383.51,18.81250762939453,906.88,0.0596590004861354,849.46
2022-02-04,41500.875,29412.21,2983.5869140625,18987.22,399.0296020507813,1711.08,112.17424774169922,3121.47,0.6558769941329956,1543.18,1.1356240510940552,1178.76,77.31163787841797,965.94,0.1475030034780502,580.74,20.42466354370117,1110.48,0.064409002661705,955.3
2022-02-05,41441.1640625,19652.85,3014.648193359375,13102.09,414.2000122070313,2039.01,113.89430236816406,2337.47,0.6671270132064819,1760.39,1.1273449659347534,1363.91,77.2494888305664,797.74,0.1471409946680069,587.01,21.366989135742188,1265.23,0.0647590011358261,866.8
2022-02-06,42412.43359375,16142.1,3057.47607421875,9466.02,419.5455627441406,1427.59,115.2997589111328,1488.44,0.6836469769477844,1095.14,1.1445469856262207,911.52,78.75726318359375,506.75,0.1537699997425079,757.0,21.903335571289062,830.92,0.0662060007452964,670.35
2022-02-07,43840.28515625,28641.86,3142.470703125,15197.06,433.2292785644531,1755.67,117.35514831542967,2501.44,0.8278189897537231,4197.4,1.197306990623474,2107.22,83.16699981689453,912.46,0.1655779927968979,1791.36,22.36450958251953,1356.17,0.0685620009899139,904.66
2022-02-08,44118.4453125,33079.4,3122.608642578125,17136.08,408.7767639160156,2247.0,113.5954818725586,2670.41,0.8781939744949341,6159.38,1.178719997406006,2267.27,86.62419891357422,2252.18,0.1584050059318542,1190.12,21.68914794921875,1444.55,0.0681490004062652,1032.22
